#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       5.709191111373e-02       7.526908197709e-02      -7.906798150143e+03      -7.938630483611e+03       7.576940199834e-02      -7.933607306939e+03       1.163893636476e-01       1.163893636476e-01 
       6.022935648316e-02       7.170010017293e-02      -8.384358553964e+03      -8.415476361767e+03       7.217667375826e-02      -8.410356997517e+03       1.108637945475e-01       1.108637945475e-01 
       6.324127752976e-02       6.843938312543e-02      -8.827114072339e+03      -8.858746819107e+03       6.889439824188e-02      -8.853445769192e+03       1.058529134473e-01       1.058529134473e-01 
       6.618131249851e-02       6.543050976418e-02      -9.239637481019e+03      -9.273174023636e+03       6.586544279685e-02      -9.267591807834e+03       1.011784211338e-01       1.011784211338e-01 
       6.908501384540e-02       6.257245274234e-02      -9.625829221707e+03      -9.662680569816e+03       6.298835482960e-02      -9.656714723242e+03       9.675055294971e-02       9.675055294971e-02 
       7.197761805006e-02       5.982332592902e-02      -9.989255539304e+03      -1.003072180896e+04       6.022103862714e-02      -1.002427744218e+04       9.252303887907e-02       9.252303887907e-02 
       7.487806543872e-02       5.721571002485e-02      -1.033324629178e+04      -1.038038318595e+04       5.759601484967e-02      -1.037338355109e+04       8.847141148856e-02       8.847141148856e-02 
       7.780125236768e-02       5.470830190405e-02      -1.066304756048e+04      -1.071654238581e+04       5.507195464878e-02      -1.070893800677e+04       8.459895122049e-02       8.459895122049e-02 
       8.075937448062e-02       5.232403520075e-02      -1.098424580833e+04      -1.104431430042e+04       5.267184230442e-02      -1.103609097081e+04       8.091352632709e-02       8.091352632709e-02 
       8.376276910312e-02       5.007004234098e-02      -1.130348377362e+04      -1.136980271107e+04       5.040286975673e-02      -1.136098645186e+04       7.742937240215e-02       7.742937240215e-02 
       8.682046562556e-02       4.795184034811e-02      -1.162782027891e+04      -1.169951562350e+04       4.827060850576e-02      -1.169017348209e+04       7.415978875437e-02       7.415978875437e-02 
       8.994055745224e-02       4.598467690952e-02      -1.196411886694e+04      -1.203981252129e+04       4.629035025786e-02      -1.203004896008e+04       7.111283517856e-02       7.111283517856e-02 
       9.313046048265e-02       4.415656993086e-02      -1.231839998269e+04      -1.239633683201e+04       4.445010275736e-02      -1.238628401551e+04       6.828876868993e-02       6.828876868993e-02 
       9.639709690800e-02       4.246664515644e-02      -1.269459472539e+04      -1.277284316398e+04       4.274894672589e-02      -1.276264586981e+04       6.567567686524e-02       6.567567686524e-02 
       9.974702834454e-02       4.089955527494e-02      -1.309413669061e+04      -1.317084623759e+04       4.117143777343e-02      -1.316064241206e+04       6.325121975219e-02       6.325121975219e-02 
       1.031865536713e-01       3.943436263561e-02      -1.351495180227e+04      -1.358865031573e+04       3.969649356849e-02      -1.357854884037e+04       6.098161070491e-02       6.098161070491e-02 
       1.067217816968e-01       3.804377682722e-02      -1.395168871299e+04      -1.402156598139e+04       3.829664939993e-02      -1.401162543640e+04       5.882665205898e-02       5.882665205898e-02 
